lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
629.875488,2.321062e-03,-2.076494e-02,2.090014e+00,5.077409e-03,-3.654778e-02,1.992936e+00,4.827827e-03,-3.639506e-02,4.052249e+00,-1329.596039,-422.840175,947.563925,0.490385,6.249047
633.099243,-5.642477e-03,6.222312e-02,1.968044e+00,-1.630223e-03,2.425688e-02,1.929274e+00,-1.927619e-03,3.312690e-02,3.960343e+00,-139.189897,991.479796,-352.084387,0.555451,5.362159
636.324158,-9.909254e-03,1.034038e-01,1.908565e+00,-3.709394e-03,4.048968e-02,1.857949e+00,-5.228666e-03,6.415987e-02,3.893676e+00,199.674981,-927.515595,397.531124,0.657061,4.965600
639.446045,-9.175311e-03,1.008091e-01,1.881935e+00,-1.890819e-03,2.361530e-02,1.874205e+00,-5.245814e-03,6.821587e-02,3.867154e+00,21.836582,-207.953043,126.876667,0.800538,2.020441
642.673157,-4.774886e-03,4.378641e-02,2.111072e+00,-4.031448e-03,6.307671e-02,1.736164e+00,-4.147394e-03,6.559499e-02,3.880716e+00,-50.147936,-137.215048,148.188413,0.348489,3.701311
645.797058,-2.940530e-03,7.185163e-04,2.334189e+00,-1.144487e-03,5.030816e-02,1.597321e+00,-2.167613e-03,3.793672e-02,3.924040e+00,187.894668,212.350879,-131.102359,0.412574,4.497074
649.026184,-8.877975e-03,5.430155e-02,2.277096e+00,2.868828e-03,1.037215e-02,1.633301e+00,-3.788178e-03,4.148849e-02,3.929148e+00,-93.930908,-90.733545,154.822762,0.009541,7.088190
652.256348,-6.475664e-03,5.099725e-02,2.134038e+00,-1.028045e-03,4.477804e-02,1.693012e+00,-3.920947e-03,4.442815e-02,3.954453e+00,9.117551,25.852232,49.845401,0.458796,3.213739
655.383118,-5.182884e-03,6.358395e-02,1.887094e+00,-3.069063e-03,6.079755e-02,1.728538e+00,-3.159052e-03,4.176090e-02,3.911923e+00,34.451501,-7.065918,50.103362,0.160717,5.816082
658.615173,-6.103850e-03,8.185185e-02,1.828849e+00,-2.279847e-03,4.237044e-02,1.787626e+00,-3.049325e-03,4.109001e-02,3.904945e+00,60.747523,-13.985531,25.748424,0.395831,4.801673
661.743713,-4.193762e-03,6.674556e-02,1.823159e+00,-1.889748e-03,3.168002e-02,1.810960e+00,-2.553143e-03,3.617634e-02,3.896701e+00,30.968435,-46.365477,68.905891,0.277227,4.101264
664.977478,-5.375124e-03,8.186033e-02,1.765217e+00,-4.262619e-03,6.295061e-02,1.716258e+00,-4.169377e-03,5.629432e-02,3.837997e+00,-1572.323991,2437.927214,-320.970122,0.744799,2.563997
668.211975,-8.080343e-03,1.090300e-01,1.752167e+00,-7.248375e-03,9.165952e-02,1.658017e+00,-3.393655e-03,4.261167e-02,3.896911e+00,38.322538,-14.622074,34.411743,0.226304,5.972504
671.343018,-4.104409e-03,6.187932e-02,1.881348e+00,-4.246123e-03,5.492507e-02,1.734961e+00,2.385009e-03,-3.018356e-02,4.100420e+00,71.614386,-84.220411,60.017648,0.127776,4.415265
674.579102,-3.373662e-05,1.240618e-02,1.964135e+00,-9.236304e-04,2.146351e-02,1.763727e+00,6.503490e-03,-8.398281e-02,4.253943e+00,-69.687388,149.568118,46.740516,0.125310,3.825202
677.711548,-1.435243e-03,2.895273e-02,1.880391e+00,-5.837304e-04,2.607486e-02,1.724067e+00,4.586027e-03,-6.097898e-02,4.202611e+00,379.982473,-258.371156,-0.032447,0.563493,2.531387
680.949036,-7.238412e-03,9.474949e-02,1.748225e+00,-3.022943e-03,5.393095e-02,1.720269e+00,-5.524306e-03,5.731211e-02,3.933117e+00,13.053097,-1.406429,49.079740,0.349289,3.583960
