lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
414.734192,1.047347e-02,-4.402139e-03,2.026468e+00,1.524381e-02,-2.261935e-01,2.072515e+00,1.217847e-02,-1.132226e-01,4.180092e+00,-19.728465,-20.186452,52.249054,0.041667,4.386765
417.803803,1.851287e-02,-1.244170e-01,2.264083e+00,1.146225e-02,-1.556174e-01,1.908277e+00,1.448488e-02,-1.263658e-01,4.151240e+00,-55.836358,-49.899552,88.413012,0.230111,4.323564
420.876740,1.322729e-02,-9.141139e-02,2.271307e+00,-2.854632e-03,1.572338e-02,1.510829e+00,1.415963e-02,-1.091786e-01,4.105735e+00,61.917236,74.112469,-32.305461,0.310122,3.345079
423.853699,1.373290e-02,-1.212669e-01,2.403407e+00,-5.887562e-03,5.924701e-02,1.332205e+00,1.692404e-02,-1.359001e-01,4.148401e+00,276.145376,124.615100,-170.921901,0.293501,5.042901
426.933075,2.508234e-02,-2.367665e-01,2.670836e+00,-7.076037e-04,9.616563e-03,1.379767e+00,2.472076e-02,-1.961631e-01,4.238371e+00,41.296526,167.868834,-32.161599,0.089563,5.480117
430.015686,2.019760e-02,-1.684286e-01,2.384624e+00,1.234727e-03,-1.618230e-02,1.537456e+00,2.457983e-02,-1.936264e-01,4.176616e+00,-33.686588,96.171397,22.140861,0.034782,5.505957
433.001923,7.690462e-04,3.354748e-02,1.780522e+00,1.579326e-03,-3.163986e-02,1.772056e+00,9.254060e-03,-6.750460e-02,3.895349e+00,82.620995,142.748140,-57.833790,0.351042,3.242755
436.090820,-5.706022e-03,9.128145e-02,1.683754e+00,2.213840e-03,-3.796834e-02,1.828679e+00,-1.113027e-03,3.027727e-02,3.714907e+00,-14.829452,41.806198,47.552299,0.015889,7.728650
439.083038,-2.614799e-03,5.401826e-02,1.713663e+00,2.828899e-03,-4.494140e-02,1.831434e+00,-4.750868e-03,6.700991e-02,3.623829e+00,42.574867,103.148287,-2.197016,0.095385,5.452455
442.178101,1.069314e-03,4.896656e-03,1.791347e+00,9.112958e-04,-2.152407e-02,1.814771e+00,-1.463300e-03,2.795418e-02,3.755584e+00,17.694186,67.932903,14.854571,0.047077,4.451029
445.276184,3.611568e-03,-1.821645e-02,1.864234e+00,-6.119781e-03,4.288181e-02,1.714149e+00,2.150289e-03,-8.060046e-03,3.887041e+00,407.931808,184.688576,-224.348240,0.108167,6.937201
448.277283,8.833623e-03,-5.802826e-02,1.937416e+00,-1.040312e-02,8.117747e-02,1.613778e+00,3.639208e-03,-1.889207e-02,3.931294e+00,13.887065,42.150014,31.825198,0.149925,3.685628
451.381348,5.810883e-03,-1.988088e-02,1.861918e+00,-1.325637e-02,1.127138e-01,1.549809e+00,6.730384e-04,1.715043e-02,3.873478e+00,-32.556385,22.525945,41.520751,0.238417,8.433628
454.388153,-8.689966e-04,4.468592e-02,1.794351e+00,-9.459713e-03,8.751836e-02,1.454280e+00,-6.549103e-03,8.801813e-02,3.754564e+00,-107.992113,-100.148395,144.527105,0.035257,4.432122
457.498077,-2.430140e-03,4.192253e-02,1.905420e+00,-2.396109e-03,1.862032e-02,1.489282e+00,-5.193864e-03,6.963402e-02,3.843218e+00,-2467.439641,-1780.628616,1969.383935,0.427014,3.054363
460.610931,-1.553850e-03,2.707688e-02,1.950187e+00,-5.234766e-04,-1.449980e-02,1.621242e+00,1.236938e-03,9.744004e-03,3.901441e+00,169.400786,48.008049,-59.024145,0.443278,3.628289
463.626099,-5.700135e-03,8.831202e-02,1.725605e+00,-1.371341e-03,-1.047586e-02,1.651088e+00,8.011392e-04,2.086244e-02,3.791644e+00,-38.583631,-31.081274,75.108501,0.328968,8.995451
466.744598,-7.869929e-03,1.108242e-01,1.664621e+00,-1.579296e-03,-9.904778e-03,1.712714e+00,2.908689e-05,1.404338e-02,3.796395e+00,-25.205857,18.913571,67.258896,0.049437,5.798267
