lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
411.766815,1.551090e-02,-1.026892e-01,2.213897e+00,1.605617e-02,-1.862824e-01,2.036960e+00,7.683513e-03,1.097230e-01,4.201702e+00,-201.039113,117.238001,81.283121,0.720298,3.295325
414.734192,1.367729e-02,-7.834436e-02,2.135122e+00,2.634178e-02,-2.772373e-01,2.165387e+00,-6.639290e-05,1.682972e-01,4.065231e+00,-136.122552,78.895596,65.403110,0.806884,3.089439
417.803803,7.043349e-03,-3.435294e-02,2.197733e+00,2.705391e-02,-1.989429e-01,1.938571e+00,-1.161555e-02,2.992760e-01,4.080268e+00,70.675044,-18.944768,10.731552,0.644518,6.484548
420.876740,-7.367660e-03,1.251809e-01,2.222204e+00,9.963239e-03,6.760010e-02,1.352449e+00,-8.062317e-03,4.572787e-01,4.350568e+00,32.867021,8.973966,9.620035,0.923120,5.481026
423.853699,-3.125694e-02,3.275167e-01,2.173546e+00,-2.015611e-03,2.424772e-01,1.118861e+00,3.088257e-02,6.076051e-01,4.313048e+00,35.136200,-89.655624,34.003485,0.947669,8.026627
426.933075,-4.249200e-02,4.836197e-01,2.210302e+00,-1.639771e-05,3.338872e-01,1.110314e+00,1.112365e-01,2.180955e-01,4.708989e+00,69.616719,-75.187097,31.247480,0.986035,7.222065
430.015686,-7.083734e-03,6.040308e-02,3.015801e+00,3.072768e-04,5.267119e-01,1.048171e+00,2.235340e-01,9.598991e-01,3.633943e+00,33.920553,52.264225,3.250053,0.997576,5.414259
433.001923,1.559030e-02,-2.224948e-01,3.434153e+00,-1.715555e-02,1.030189e+00,1.002544e+00,2.367969e-01,4.726836e+00,-1.059711e+00,28.422844,63.112817,1.542977,0.998726,6.459070
436.090820,4.978775e-02,-2.095932e-01,2.919034e+00,1.185525e-02,1.222561e+00,1.288367e+00,1.251744e-03,1.126366e+01,-7.541944e+00,-34.626226,182.636853,-11.766438,0.998795,10.246549
439.083038,5.561156e-02,3.184529e-01,1.585398e+00,5.760860e-02,1.631962e+00,1.175864e+00,-3.757434e-01,1.977135e+01,-1.398313e+01,1437.314260,-966.453698,64.528499,0.998635,16.612611
442.178101,4.973671e-02,1.332822e+00,4.785578e-01,1.113056e-01,2.791226e+00,1.157737e+00,-9.198216e-01,3.038726e+01,-1.705655e+01,-8682.525663,4033.558663,18.041027,0.999410,16.773512
445.276184,3.807968e-04,2.272652e+00,-4.769680e-01,1.111201e-01,4.551720e+00,2.880687e-01,-1.689118e+00,4.189366e+01,-1.642919e+01,-1098.559192,395.279955,24.856488,0.999384,25.721055
448.277283,-1.084140e-01,2.941623e+00,-1.310254e+00,2.536057e-03,6.779471e+00,-1.961039e+00,-2.298026e+00,4.920935e+01,-1.240419e+01,-642.566686,135.105762,30.560729,0.999662,27.859305
451.381348,-1.594823e-01,2.733352e+00,-1.248455e+00,-6.758699e-02,7.990749e+00,-2.695361e+00,-2.586825e+00,5.188076e+01,-6.757317e+00,-367.200395,86.745508,20.585025,0.999349,55.088199
454.388153,-4.966833e-02,1.116911e+00,2.409774e-01,-6.190062e-02,8.103769e+00,-2.844491e+00,-2.404712e+00,4.967610e+01,-3.353888e+00,1719.534161,117.124414,-39.090088,0.999631,52.003535
457.498077,5.475328e-02,-4.474332e-01,1.702046e+00,1.243964e-02,6.905229e+00,-2.264922e+00,-1.964086e+00,4.420264e+01,-2.928084e+00,291.683866,105.776683,8.641596,0.999480,64.573156
460.610931,2.508685e-02,-3.461315e-01,9.780796e-01,1.174736e-01,4.811700e+00,-4.760141e-01,-1.574605e+00,3.818377e+01,-5.654383e+00,312.037622,101.799493,11.619829,0.999454,56.495158
463.626099,1.705783e-02,-2.448397e-01,7.920812e-01,1.406619e-01,3.515434e+00,4.199763e-01,-1.170528e+00,3.169160e+01,-9.205500e+00,327.006253,79.076701,13.545074,0.999150,53.318366
466.744598,1.867034e-02,-2.806339e-01,9.891579e-01,1.192430e-01,2.670903e+00,4.610086e-01,-7.624906e-01,2.481996e+01,-1.115846e+01,443.800254,55.175135,18.810958,0.999607,28.223160
469.765198,1.627508e-02,-3.045747e-01,1.388091e+00,1.074186e-01,1.872758e+00,7.863679e-01,-3.727556e-01,1.778681e+01,-9.761999e+00,318.881053,42.706386,24.225808,0.999375,30.302698
472.889252,6.833623e-03,-2.490182e-01,1.661835e+00,8.516956e-02,1.224093e+00,1.497488e+00,-1.000462e-01,1.156141e+01,-6.457727e+00,273.594440,11.662901,34.969549,0.999188,28.123198
476.016052,2.096548e-03,-2.174496e-01,1.662930e+00,5.128209e-02,8.045587e-01,1.948192e+00,3.728582e-02,7.144004e+00,-3.013225e+00,252.607926,-12.695679,44.076441,0.999356,19.431194
479.044586,2.749750e-02,-3.939225e-01,2.596927e+00,4.641703e-03,7.122816e-01,1.458153e+00,1.356858e-01,3.297046e+00,7.323873e-01,-30.531775,252.418479,-0.649771,0.998752,19.531084
482.176758,3.304160e-02,-4.611647e-01,3.030868e+00,-3.055943e-02,8.523622e-01,7.818493e-01,1.113527e-01,1.735904e+00,2.723999e+00,33.411915,111.909185,27.009348,0.998483,15.054378
485.210419,3.628049e-02,-5.247512e-01,2.829827e+00,-2.644323e-02,7.967267e-01,7.334328e-01,4.674450e-02,1.371776e+00,3.741103e+00,30.139040,81.503873,34.042757,0.999036,9.068898
488.347809,3.006409e-02,-3.961465e-01,2.556730e+00,-2.225808e-02,6.580861e-01,8.783029e-01,1.740120e-02,7.691699e-01,4.359123e+00,-10.504931,31.696445,67.095119,0.996138,13.992381
491.487762,1.344262e-02,-1.877987e-01,2.326441e+00,-2.742193e-03,3.077377e-01,1.370968e+00,2.864863e-02,4.138629e-01,4.053766e+00,-10.143363,182.531229,8.956315,0.998469,6.478666
494.528961,-2.923140e-03,4.191674e-02,2.089435e+00,1.478258e-02,3.888218e-02,1.758379e+00,2.868808e-02,3.594510e-01,3.792927e+00,136.917792,-257.022478,134.983342,0.996016,7.388571
497.673981,-1.493177e-02,1.950085e-01,1.884745e+00,2.793629e-02,-1.366986e-01,2.039223e+00,-1.616371e-02,5.764248e-01,3.479297e+00,22.137491,40.245166,53.231320,0.991172,7.797784
500.719940,-5.391038e-03,1.088760e-01,1.888922e+00,2.832819e-02,-1.847774e-01,1.990175e+00,-3.405692e-02,5.413299e-01,3.512778e+00,-58.057576,97.816063,66.751102,0.984818,7.402622
503.869904,1.015262e-02,-4.861370e-02,2.054595e+00,1.767061e-02,-1.637200e-01,1.886943e+00,7.432540e-03,1.192721e-01,4.212058e+00,-439.878696,178.219163,184.183817,0.973845,6.942906
507.022278,1.218829e-02,-8.323219e-02,2.199539e+00,1.418422e-02,-1.749864e-01,2.064509e+00,1.980425e-02,7.663737e-03,4.372349e+00,8547.952039,-4227.075782,-2230.725520,0.971882,5.697793
510.075317,1.632713e-02,-1.376939e-01,2.367407e+00,1.637901e-02,-2.039918e-01,2.241944e+00,2.237240e-02,-3.227801e-02,4.311714e+00,-1606.294944,936.105338,460.716595,0.970837,4.490774
513.232422,1.820188e-02,-1.663539e-01,2.436545e+00,1.250791e-02,-1.393892e-01,2.165111e+00,2.196372e-02,-8.411962e-02,4.290291e+00,-389.676338,319.487360,126.195362,0.890303,6.206376
516.290039,1.205169e-02,-1.038966e-01,2.312639e+00,7.685821e-03,-6.858163e-02,1.985193e+00,1.445472e-02,-4.466580e-02,4.109062e+00,-245.759256,294.215325,65.863753,0.914869,4.573224
