Grupo,Identificacao,Cor,Principal_RGB,Comprimento_Onda_Medio_nm,Desvio_Padrao_nm,Incerteza_Expandida_nm,Erro_Padrao_Media_nm,Min_nm,Max_nm,Range_nm,Intensidade_Media,Intensidade_Desvio_Padrao,Coeficiente_Variacao_Intensidade_%,Intensidade_Min,Intensidade_Max,Num_Detecoes,Taxa_Deteccao_%
28,Grupo 28,Azul,Não,454.09192556159604,1.4448131738888812,0.14141503259297813,0.07215052683315211,451.6819153000001,456.5948792,4.912963899999852,11002.663341645884,1084.6175541995462,9.857772800283634,9093.0,13085.0,401,100.0
30,Grupo 30,Azul,Não,464.0784625913876,1.48512347124009,0.14237393626472553,0.07263976340037016,461.7161865,466.64395140000005,4.9277649000000565,13449.86124401914,736.4895540295271,5.4758152568825045,11948.0,14675.0,418,100.0
31,Grupo 31,Azul,Não,469.11082434775,1.4518249134486567,0.14227884151796835,0.07259124567243283,466.7445984,471.5788269000001,4.834228500000108,10531.4175,863.2064652781482,8.196488889346076,9020.0,12035.0,400,100.0
32,Grupo 32,Azul,Não,474.12890152033907,1.4600932872425068,0.14081912772189126,0.07184649373565881,471.67962650000004,476.6215515000001,4.941925000000083,7972.116222760291,616.7805356672103,7.736722827827192,6882.0,9291.0,413,100.0
33,Grupo 33,Azul,Não,479.1509832936709,1.4325087180226903,0.14127157832223453,0.07207733587869108,476.7225037,481.5703125,4.847808799999996,5954.59746835443,542.7486377227673,9.114782999307549,4995.0,6978.0,395,100.0
34,Grupo 34,Azul,Não,484.1750764737349,1.4692333138269904,0.1413587805789742,0.07212182682600725,481.6713867,486.6269836,4.955596899999989,4377.125301204819,379.7463668058776,8.675702445651968,3741.0,5114.0,415,100.0
35,Grupo 35,Azul,Não,489.18774405717954,1.4538419765415223,0.14429157430990816,0.07361815015811642,486.7281799,491.58911130000007,4.860931400000084,3488.3307692307694,156.10348827242984,4.475019675581197,3212.0,3891.0,390,100.0
36,Grupo 36,Azul,Não,494.15775493488377,1.3987907314519665,0.14781877402965699,0.07541774185186581,491.6904602000001,496.5576782,4.867217999999923,3232.781976744186,44.49242895124928,1.376289192135954,3092.0,3359.0,344,100.0
37,Grupo 37,Azul,Não,499.20083353877556,1.5046405045745723,0.148951810564568,0.07599582171661633,496.6591492,501.63418580000007,4.975036600000067,3452.0994897959185,140.69801438874663,4.07572304345911,3173.0,3819.0,392,100.0
38,Grupo 38,Verde,Não,504.25135247473963,1.4213970064174806,0.14216930999539532,0.07253536224254863,501.73577880000005,506.61541750000004,4.879638699999987,4059.3307291666665,230.68548659783968,5.68284532571695,3632.0,4616.0,384,100.0
